n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
295,224.758,0.225,35.104804333333334,-117.795926,20.757,927.639,0,0,0,
296,225.419,1.56,-1,-1,20.8,927.616,0,0,0,
297,226.081,-1.169,35.104804333333334,-117.795926,20.817,927.832,0,0,0,
298,226.742,-0.939,-1,-1,20.825,927.745,0,0,0,
299,227.403,-0.867,-1,-1,20.79,927.615,0,0,0,
300,228.465,-0.441,-1,-1,20.71,927.679,0,0,0,
301,229.127,-1.438,-1,-1,20.755,927.824,0,0,0,
302,229.789,-4.394,35.104804333333334,-117.795926,20.68,928.014,0,0,0,
303,230.451,0.482,35.104802,-117.79592416666667,20.555,927.536,0,0,0,
304,231.112,-1.957,-1,-1,20.48,927.889,0,0,0,
305,232.175,2.35,35.104802,-117.79592416666667,20.43,927.408,0,0,0,
306,232.837,-1.997,-1,-1,20.465,927.946,0,0,0,
307,233.499,-1.09,-1,-1,20.388,927.858,0,0,0,
308,234.162,2.568,-1,-1,20.328,927.601,0,0,0,
309,234.824,-2.723,-1,-1,20.321,927.92,0,0,0,
310,235.887,-2.05,35.104802,-117.79592416666667,20.188,927.615,0,0,0,
311,236.548,-3.869,35.1047975,-117.795921,20.198,927.889,0,0,0,
312,237.21,-1.334,-1,-1,20.169,928.288,0,0,0,
313,237.872,-0.191,35.1047975,-117.795921,20.096,927.745,0,0,0,
314,238.533,2.511,-1,-1,20.039,927.518,0,0,0,
315,239.596,-1.352,-1,-1,19.924,927.778,0,0,0,
316,240.258,1.313,-1,-1,19.967,927.55,0,0,0,
317,240.919,-2.041,-1,-1,19.962,927.823,0,0,0,
318,241.581,-2.514,35.1047975,-117.795921,20.006,927.904,0,0,0,
319,242.242,-0.955,35.10479466666666,-117.7959185,20.039,927.801,0,0,0,
320,243.304,-0.125,-1,-1,19.952,927.653,0,0,0,
321,243.966,-0.195,35.10479466666666,-117.7959185,19.994,927.658,0,0,0,
322,244.627,0.957,-1,-1,19.967,927.569,0,0,0,
323,245.289,-0.366,-1,-1,19.944,927.692,0,0,0,
324,245.951,1.228,-1,-1,19.949,927.591,0,0,0,
325,247.013,0.226,-1,-1,19.874,927.595,0,0,0,
326,247.674,0.474,35.10479466666666,-117.7959185,19.937,927.605,0,0,0,
327,248.336,0.171,35.10478766666667,-117.79591783333333,19.939,927.66,0,0,0,
328,248.997,-0.684,-1,-1,19.932,927.712,0,0,0,
329,249.658,-0.506,35.10478766666667,-117.79591783333333,19.962,927.709,0,0,0,
330,250.72,-0.767,-1,-1,19.884,927.916,0,0,0,
331,251.382,-6.503,-1,-1,19.884,927.9,0,0,0,
332,252.044,-0.484,-1,-1,19.879,927.713,0,0,0,
333,252.707,-2.939,-1,-1,19.929,928.03,0,0,0,
334,253.369,1.357,35.10478766666667,-117.79591783333333,19.904,927.44,0,0,0,
335,254.431,-0.615,35.10478616666666,-117.7959165,19.822,927.83,0,0,0,
336,255.091,-0.344,-1,-1,19.849,927.727,0,0,0,
337,255.752,-0.4,35.10478616666666,-117.7959165,19.832,927.722,0,0,0,
338,256.414,0.33,-1,-1,19.814,927.66,0,0,0,
339,257.075,-0.881,-1,-1,19.819,927.687,0,0,0,
340,258.138,0.909,-1,-1,19.75,927.571,0,0,0,
341,258.801,-9.955,-1,-1,19.824,928.188,0,0,0,
342,259.463,-6.312,35.10478616666666,-117.7959165,19.842,929.19,0,0,0,
343,260.124,-3.387,35.104783,-117.795917,19.822,928.705,0,0,0,
344,260.785,-0.188,-1,-1,19.857,927.692,0,0,0,
345,261.847,-1.954,35.104783,-117.795917,19.837,927.844,0,0,0,
346,262.508,0.301,-1,-1,19.869,927.687,0,0,0,
347,263.17,-8.869,-1,-1,19.872,927.741,0,0,0,
348,263.831,-0.314,-1,-1,19.842,927.664,0,0,0,
349,264.492,0.147,-1,-1,19.857,927.718,0,0,0,
350,265.553,-0.057,35.104783,-117.795917,19.807,927.678,0,0,0,
351,266.214,-0.022,35.10478166666667,-117.79591566666667,19.894,927.73,0,0,0,
352,266.875,-0.782,-1,-1,19.879,927.709,0,0,0,
353,267.536,-1.005,35.10478166666667,-117.79591566666667,19.872,927.764,0,0,0,
354,268.198,0.029,-1,-1,19.859,927.692,0,0,0,
355,269.259,-1.348,-1,-1,19.792,927.781,0,0,0,
356,269.921,-1.296,-1,-1,19.839,927.791,0,0,0,
357,270.583,-1.69,-1,-1,19.819,927.825,0,0,0,
358,271.244,-1.555,35.10478166666667,-117.79591566666667,19.822,927.888,0,0,0,
359,271.907,-2.388,35.104782,-117.795916,19.832,928.056,0,0,0,
360,272.968,-0.95,-1,-1,19.787,927.76,0,0,0,
361,273.629,-1.457,35.104782,-117.795916,19.842,927.76,0,0,0,
362,274.291,-0.011,-1,-1,19.837,927.676,0,0,0,
363,274.954,-2.027,-1,-1,19.817,927.948,0,0,0,
364,275.615,-1.275,-1,-1,19.802,927.828,0,0,0,
365,276.678,0.418,-1,-1,19.705,927.633,0,0,0,
366,277.339,0.233,35.104782,-117.795916,19.735,927.631,0,0,0,
367,278.001,-1.539,35.10478033333333,-117.79591966666666,19.735,927.809,0,0,0,
368,278.661,-0.871,-1,-1,19.75,927.759,0,0,0,
369,279.323,-0.766,35.10478033333333,-117.79591966666666,19.762,927.812,0,0,0,
370,280.384,-0.724,-1,-1,19.68,927.82,0,0,0,
371,281.045,-0.926,-1,-1,19.747,927.78,0,0,0,
372,281.707,-1.108,-1,-1,19.752,927.795,0,0,0,
373,282.367,-0.514,-1,-1,19.767,927.735,0,0,0,
374,283.028,-0.423,35.10478033333333,-117.79591966666666,19.757,927.797,0,0,0,
375,284.09,-0.816,35.10477733333333,-117.79592033333333,19.695,927.76,0,0,0,
376,284.751,-0.439,-1,-1,19.74,927.754,0,0,0,
377,285.412,-1.156,35.10477733333333,-117.79592033333333,19.745,927.817,0,0,0,
378,286.073,-0.658,-1,-1,19.745,927.772,0,0,0,
379,286.734,-0.833,-1,-1,19.732,927.724,0,0,0,
380,287.796,-2.652,-1,-1,19.607,927.95,0,0,0,
381,288.457,-0.768,-1,-1,19.622,927.796,0,0,0,
382,289.119,-1.216,35.10477733333333,-117.79592033333333,19.657,927.846,0,0,0,
383,289.779,-1.442,35.104775833333335,-117.79591733333334,19.68,927.82,0,0,0,
384,290.441,-1.139,-1,-1,19.64,927.796,0,0,0,
385,291.503,-1.329,35.104775833333335,-117.79591733333334,19.528,927.819,0,0,0,
386,292.164,-0.881,-1,-1,19.56,927.773,0,0,0,
387,292.825,-0.934,-1,-1,19.523,927.784,0,0,0,
388,293.487,-1.118,-1,-1,19.518,927.831,0,0,0,
389,294.147,-1.252,-1,-1,19.523,927.776,0,0,0,
390,295.21,-1.37,35.104775833333335,-117.79591733333334,19.443,927.788,0,0,0,
